HG00641,107
HG00650,129
HG00651,113
HG00653,167
HG00654,105
HG00656,112
HG00657,105
HG00662,185
HG00663,107
HG00671,114
HG00672,100
HG00674,112
HG00675,103
HG00683,110
HG00684,101
HG00689,165
HG00690,106
HG00692,111
HG00693,112
HG00698,129
HG00699,119
HG00701,129
HG00704,100
HG00705,102
HG00707,110
HG00708,108
HG00717,104
HG00728,107
HG00729,127
HG00731,103
HG00732,108
HG00734,111
HG00736,111
HG00737,110
HG00739,115
HG00740,108
HG00742,122
HG00743,99
HG00759,106
HG00766,111
HG00844,106
HG00851,124
HG00864,111
HG00867,112
HG00879,101
HG00881,116
HG00956,111
HG00978,123
HG00982,114
HG01028,167
HG01029,142
HG01031,113
HG01046,112
HG01047,108
HG01048,142
HG01049,131
HG01051,102
HG01052,111
HG01054,101
HG01055,110
HG01058,113
HG01060,117
HG01061,111
HG01063,111
HG01064,110
HG01066,112
HG01067,110
HG01069,167
HG01070,104
HG01072,99
HG01073,117
HG01075,118
HG01077,108
HG01079,108
HG01080,115
HG01082,111
HG01083,129
HG01085,109
HG01086,110
HG01088,115
HG01089,146
HG01092,104
HG01094,110
HG01095,103
HG01097,107
HG01098,112
HG01101,118
HG01102,121
HG01104,104
HG01105,140
HG01107,115
HG01108,111
HG01110,126
HG01111,102
HG01112,112
HG01113,110
HG01119,110
HG01121,106
HG01122,133
HG01124,111
HG01125,111
HG01130,111
HG01131,112
HG01133,116
HG01134,120
HG01136,118
HG01137,109
HG01139,113
HG01140,119
HG01142,116
HG01148,107
HG01149,192
HG01161,111
HG01162,103
HG01164,109
HG01167,157
HG01168,106
HG01170,101
HG01171,114
HG01173,105
HG01174,109
HG01176,150
HG01177,123
HG01182,113
HG01183,127
HG01187,113
HG01188,107
HG01190,111
HG01191,115
HG01197,109
HG01198,110
HG01200,111
HG01204,104
HG01205,126
HG01241,116
HG01242,109
HG01247,110
HG01248,145
HG01250,126
HG01251,106
HG01253,114
HG01254,130
HG01256,122
HG01257,109
HG01259,114
HG01260,124
HG01269,112
HG01271,116
HG01272,109
HG01275,108
HG01277,107
HG01280,113
HG01281,113
HG01284,108
HG01286,117
HG01302,112
HG01303,107
HG01305,111
HG01308,113
HG01311,114
HG01312,110
HG01323,114
HG01325,112
HG01326,112
HG01334,111
HG01341,111
HG01342,104
HG01344,116
HG01345,109
HG01348,117
HG01350,109
HG01351,109
HG01353,156
HG01354,121
HG01356,115
HG01357,107
HG01359,108
HG01360,109
HG01362,106
HG01363,105
HG01365,116
HG01366,108
HG01369,124
HG01372,113
HG01374,115
HG01375,107
HG01377,116
HG01378,150
HG01383,117
HG01384,111
HG01389,106
HG01390,113
HG01392,114
HG01393,102
HG01395,116
HG01396,113
HG01398,112
HG01402,109
HG01403,108
HG01405,114
HG01412,110
HG01413,111
HG01414,111
HG01431,109
HG01432,99
HG01435,111
HG01437,111
HG01438,115
HG01440,111
HG01441,109
HG01443,105
HG01444,109
HG01447,116
HG01455,106
HG01456,108
HG01459,107
HG01461,111
HG01462,111
HG01464,113
HG01465,106
HG01468,111
HG01474,103
HG01479,110
HG01485,112
HG01486,107
HG01488,113
HG01489,102
HG01491,156
HG01492,109
HG01494,111
HG01495,105
HG01497,106
HG01498,105
HG01500,104
HG01501,111
HG01503,106
HG01504,105
HG01506,107
HG01507,105
HG01509,101
HG01510,101
HG01512,102
HG01513,101
HG01515,105
HG01516,110
HG01518,107
HG01519,108
HG01521,104
HG01522,107
HG01524,103
HG01525,112
HG01527,110
HG01528,105
HG01530,106
HG01531,106
HG01536,108
HG01537,106
HG01550,106
HG01551,109
HG01556,103
HG01565,135
HG01566,113
HG01571,114
HG01572,102
HG01577,109
HG01578,116
HG01583,117
HG01586,104
HG01589,110
HG01593,113
HG01595,111
HG01596,117
HG01597,115
HG01598,107
HG01599,116
HG01600,114
HG01602,105
HG01603,106
HG01605,105
HG01606,102
HG01607,106
HG01608,103
HG01610,104
HG01612,108
HG01613,108
HG01615,127
HG01617,105
HG01618,103
HG01619,108
HG01620,101
HG01623,104
HG01624,107
HG01625,105
HG01626,119
HG01628,102
HG01630,104
HG01631,103
HG01632,103
HG01668,105
HG01669,106
HG01670,103
HG01672,108
HG01673,107
HG01675,102
HG01676,106
HG01678,100
HG01679,105
HG01680,103
HG01682,106
HG01684,104
HG01685,101
HG01686,101
HG01694,106
HG01695,106
HG01697,106
HG01699,109
HG01700,105
HG01702,103
HG01704,106
HG01705,104
HG01707,106
HG01708,107
HG01709,109
HG01710,113
HG01746,112
HG01747,114
HG01756,111
HG01757,109
HG01761,109
HG01762,109
HG01765,105
HG01766,112
HG01767,114
HG01768,110
HG01770,108
HG01771,116
HG01773,105
HG01775,117
HG01776,101
HG01777,109
HG01779,117
