Sample ID,Family ID,Sex,Population,Superpopulation,Repository,BaseSpace link,ENA link,Coriell link,Affected,References
HG02622,GB31,F,GWD,AFR,NHGRI,NA,https://www.ebi.ac.uk/ena/data/view/ERR2304594,https://catalog.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=HG02622,NA,
HG02723,GB52,F,GWD,AFR,NHGRI,NA,https://www.ebi.ac.uk/ena/data/view/ERR2304599,https://catalog.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=HG02723,NA,
HG02770,GB57,F,GWD,AFR,NHGRI,NA,https://www.ebi.ac.uk/ena/data/view/ERR2304557,https://catalog.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=HG02770,NA,
HG02773,GB58,M,GWD,AFR,NHGRI,NA,https://www.ebi.ac.uk/ena/data/view/ERR2304556,https://catalog.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=HG02773,NA,
HG02853,GB78,M,GWD,AFR,NHGRI,NA,https://www.ebi.ac.uk/ena/data/view/ERR2304568,https://catalog.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=HG02853,NA,
HG02984,GB97,M,GWD,AFR,NHGRI,NA,https://www.ebi.ac.uk/ena/data/view/ERR2304554,https://catalog.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=HG02984,NA,
HG03098,SL16,M,MSL,AFR,NHGRI,NA,https://www.ebi.ac.uk/ena/data/view/ERR2304551,https://catalog.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=HG03098,NA,
HG03065,SL5,M,MSL,AFR,NHGRI,NA,https://www.ebi.ac.uk/ena/data/view/ERR2304587,https://catalog.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=HG03065,NA,
HG03453,SL50,F,MSL,AFR,NHGRI,NA,https://www.ebi.ac.uk/ena/data/view/ERR2304578,https://catalog.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=HG03453,NA,
HG03486,SL61,F,MSL,AFR,NHGRI,NA,https://www.ebi.ac.uk/ena/data/view/ERR2304567,https://catalog.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=HG03486,NA,1kg_phase3
