Sample ID,Family ID,Sex,Population,Superpopulation,Repository,BaseSpace link,ENA link,Coriell link,Affected,References
HG03445,NA,M,MSL,AFR,NHGRI,EU=https://euc1.sh.basespace.illumina.com/biosamples/283477/datasets,https://www.ebi.ac.uk/ena/data/view/ERR1955516,https://catalog.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=HG03445,NA,1kg_phase3;1kg_GRCh38
HG03096,SL16,M,MSL,AFR,NHGRI,EU=https://euc1.sh.basespace.illumina.com/biosamples/282580/datasets,https://www.ebi.ac.uk/ena/data/view/ERR1955451,https://catalog.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=HG03096,NA,1kg_phase3;1kg_GRCh38
HG03097,SL16,F,MSL,AFR,NHGRI,EU=https://euc1.sh.basespace.illumina.com/biosamples/284632/datasets,https://www.ebi.ac.uk/ena/data/view/ERR1955526,https://catalog.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=HG03097,NA,1kg_phase3;1kg_GRCh38
HG03063,SL5,M,MSL,AFR,NHGRI,EU=https://euc1.sh.basespace.illumina.com/biosamples/284631/datasets,https://www.ebi.ac.uk/ena/data/view/ERR1955476,https://catalog.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=HG03063,NA,1kg_phase3;1kg_GRCh38
HG03064,SL5,F,MSL,AFR,NHGRI,EU=https://euc1.sh.basespace.illumina.com/biosamples/281792/datasets,https://www.ebi.ac.uk/ena/data/view/ERR1955512,https://catalog.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=HG03064,NA,1kg_phase3;1kg_GRCh38
HG03451,SL50,M,MSL,AFR,NHGRI,EU=https://euc1.sh.basespace.illumina.com/biosamples/284636/datasets,https://www.ebi.ac.uk/ena/data/view/ERR1955513,https://catalog.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=HG03451,NA,1kg_phase3;1kg_GRCh38
HG03452,SL50,F,MSL,AFR,NHGRI,EU=https://euc1.sh.basespace.illumina.com/biosamples/282584/datasets,https://www.ebi.ac.uk/ena/data/view/ERR1955488,https://catalog.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=HG03452,NA,1kg_phase3;1kg_GRCh38
HG03484,SL61,M,MSL,AFR,NHGRI,EU=https://euc1.sh.basespace.illumina.com/biosamples/284637/datasets,https://www.ebi.ac.uk/ena/data/view/ERR1955412,https://catalog.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=HG03484,NA,1kg_phase3;1kg_GRCh38
HG03485,SL61,F,MSL,AFR,NHGRI,EU=https://euc1.sh.basespace.illumina.com/biosamples/284638/datasets,https://www.ebi.ac.uk/ena/data/view/ERR1955424,https://catalog.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=HG03485,NA,1kg_phase3;1kg_GRCh38
HG03574,SL71,M,MSL,AFR,NHGRI,EU=https://euc1.sh.basespace.illumina.com/biosamples/283479/datasets,https://www.ebi.ac.uk/ena/data/view/ERR1955479,https://catalog.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=HG03574,NA,1kg_GRCh38
HG03575,SL71,F,MSL,AFR,NHGRI,EU=https://euc1.sh.basespace.illumina.com/biosamples/284639/datasets,https://www.ebi.ac.uk/ena/data/view/ERR1955468,https://catalog.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=HG03575,NA,1kg_phase3;1kg_GRCh38
HG03577,SL72,M,MSL,AFR,NHGRI,EU=https://euc1.sh.basespace.illumina.com/biosamples/284640/datasets,https://www.ebi.ac.uk/ena/data/view/ERR1955519,https://catalog.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=HG03577,NA,1kg_phase3;1kg_GRCh38
HG03578,SL72,F,MSL,AFR,NHGRI,EU=https://euc1.sh.basespace.illumina.com/biosamples/281797/datasets,https://www.ebi.ac.uk/ena/data/view/ERR1955498,https://catalog.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=HG03578,NA,1kg_phase3;1kg_GRCh38
HG03582,SL73,M,MSL,AFR,NHGRI,EU=https://euc1.sh.basespace.illumina.com/biosamples/282585/datasets,https://www.ebi.ac.uk/ena/data/view/ERR1955401,https://catalog.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=HG03582,NA,1kg_phase3;1kg_GRCh38
HG03583,SL73,F,MSL,AFR,NHGRI,EU=https://euc1.sh.basespace.illumina.com/biosamples/282586/datasets,https://www.ebi.ac.uk/ena/data/view/ERR1955535,https://catalog.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=HG03583,NA,1kg_phase3;1kg_GRCh38
HG00844,NA,M,CDX,EAS,NHGRI,EU=https://euc1.sh.basespace.illumina.com/biosamples/282561/datasets,https://www.ebi.ac.uk/ena/data/view/ERR1955450,https://catalog.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=HG00844,NA,1kg_phase3;1kg_GRCh38
HG00881,NA,M,CDX,EAS,NHGRI,EU=https://euc1.sh.basespace.illumina.com/biosamples/283449/datasets,https://www.ebi.ac.uk/ena/data/view/ERR1955542,https://catalog.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=HG00881,NA,1kg_phase3;1kg_GRCh38
HG00982,NA,M,CDX,EAS,NHGRI,EU=https://euc1.sh.basespace.illumina.com/biosamples/281776/datasets,https://www.ebi.ac.uk/ena/data/view/ERR1955485,https://catalog.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=HG00982,NA,1kg_phase3;1kg_GRCh38
HG02356,NA,M,CDX,EAS,NHGRI,EU=https://euc1.sh.basespace.illumina.com/biosamples/281784/datasets,https://www.ebi.ac.uk/ena/data/view/ERR1955446,https://catalog.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=HG02356,NA,1kg_phase3;1kg_GRCh38
HG02372,NA,M,CDX,EAS,NHGRI,EU=https://euc1.sh.basespace.illumina.com/biosamples/281785/datasets,https://www.ebi.ac.uk/ena/data/view/ERR1955440,https://catalog.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=HG02372,NA,1kg_phase3;1kg_GRCh38
HG02373,NA,M,CDX,EAS,NHGRI,EU=https://euc1.sh.basespace.illumina.com/biosamples/281786/datasets,https://www.ebi.ac.uk/ena/data/view/ERR1955467,https://catalog.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=HG02373,NA,1kg_phase3;1kg_GRCh38
HG02374,NA,M,CDX,EAS,NHGRI,EU=https://euc1.sh.basespace.illumina.com/biosamples/282568/datasets,https://www.ebi.ac.uk/ena/data/view/ERR1955415,https://catalog.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=HG02374,NA,1kg_phase3;1kg_GRCh38
HG02375,NA,M,CDX,EAS,NHGRI,EU=https://euc1.sh.basespace.illumina.com/biosamples/283460/datasets,https://www.ebi.ac.uk/ena/data/view/ERR1955449,https://catalog.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=HG02375,NA,1kg_phase3;1kg_GRCh38
