Sample ID,Family ID,Sex,Population,Superpopulation,Repository,BaseSpace link,ENA link,Coriell link,Affected,References
HG00436,SH012,M,CHS,EAS,NHGRI,NA,"HiSeqX=https://www.ebi.ac.uk/ena/data/view/ERR1955324,10x=https://www.ebi.ac.uk/ena/data/view/ERR2595616",https://catalog.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=HG00436,NA,GeT-RM PGx 28;1kg_phase3;1kg_GRCh38
HG00589,SH056,M,CHS,EAS,NHGRI,NA,"HiSeqX=https://www.ebi.ac.uk/ena/data/view/ERR1955325,10x=https://www.ebi.ac.uk/ena/data/view/ERR2595617",https://catalog.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=HG00589,NA,GeT-RM PGx 28;1kg_phase3;1kg_GRCh38
NA18942,NA,F,JPT,EAS,NHGRI,NA,"HiSeqX=https://www.ebi.ac.uk/ena/data/view/ERR1955364,10x=https://www.ebi.ac.uk/ena/data/view/ERR2595656",https://catalog.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=NA18942,NA,GeT-RM PGx 28;1kg_phase3;1kg_GRCh38
NA18952,NA,M,JPT,EAS,NHGRI,NA,"HiSeqX=https://www.ebi.ac.uk/ena/data/view/ERR1955365,10x=https://www.ebi.ac.uk/ena/data/view/ERR2595657",https://catalog.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=NA18952,NA,GeT-RM PGx 28;1kg_phase3;1kg_GRCh38
NA18959,NA,M,JPT,EAS,NHGRI,NA,"HiSeqX=https://www.ebi.ac.uk/ena/data/view/ERR1955366,10x=https://www.ebi.ac.uk/ena/data/view/ERR2595658",https://catalog.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=NA18959,NA,GeT-RM PGx 28;1kg_phase3;1kg_GRCh38
NA18966,NA,M,JPT,EAS,NHGRI,NA,"HiSeqX=https://www.ebi.ac.uk/ena/data/view/ERR1955367,10x=https://www.ebi.ac.uk/ena/data/view/ERR2595659",https://catalog.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=NA18966,NA,GeT-RM PGx 28;1kg_phase3;1kg_GRCh38
NA18973,NA,F,JPT,EAS,NHGRI,NA,"HiSeqX=https://www.ebi.ac.uk/ena/data/view/ERR1955368,10x=https://www.ebi.ac.uk/ena/data/view/ERR2595660",https://catalog.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=NA18973,NA,GeT-RM PGx 28;1kg_phase3;1kg_GRCh38
NA18980,NA,F,JPT,EAS,NHGRI,NA,"HiSeqX=https://www.ebi.ac.uk/ena/data/view/ERR1955369,10x=https://www.ebi.ac.uk/ena/data/view/ERR2595661",https://catalog.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=NA18980,NA,GeT-RM PGx 28;1kg_phase3;1kg_GRCh38
NA18992,NA,F,JPT,EAS,NHGRI,NA,"HiSeqX=https://www.ebi.ac.uk/ena/data/view/ERR1955370,10x=https://www.ebi.ac.uk/ena/data/view/ERR2595662",https://catalog.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=NA18992,NA,GeT-RM PGx 28;1kg_phase3;1kg_GRCh38
NA19003,NA,F,JPT,EAS,NHGRI,NA,"HiSeqX=https://www.ebi.ac.uk/ena/data/view/ERR1955371,10x=https://www.ebi.ac.uk/ena/data/view/ERR2595663",https://catalog.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=NA19003,NA,GeT-RM PGx 28;1kg_phase3;1kg_GRCh38
